Rank,Track Name,Artist Name,Genre,Beats Per Minute,Energy,Danceability,Loudness dB,Liveness,Valence,Length,Acousticness,Speechiness
1,Senorita,Shawn Mendes,canadian pop,117,55,76,-6,8,75,191,4,3
2,China,Anuel AA,reggaeton flow,105,81,79,-4,8,61,302,8,9
3,boyfriend (with Social House),Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46
4,Beautiful People (feat. Khalid),Ed Sheeran,pop,93,65,64,-8,8,55,198,12,19
5,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,150,65,58,-4,11,18,175,45,7
6,I Don't Care (with Justin Bieber),Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4
7,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29
8,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9
9,Old Town Road - Remix,Lil Nas X,country rap,136,62,88,-6,11,64,157,5,10
10,bad guy,Billie Eilish,electropop,135,43,70,-11,10,56,194,33,38
11,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,96,71,82,-4,15,38,185,28,7
13,Someone You Loved,Lewis Capaldi,pop,110,41,50,-6,11,45,182,75,3
14,Otro Trago - Remix,Sech,panamanian pop,176,79,73,-2,6,76,288,7,20
15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,101,50,83,-4,12,10,205,10,5
16,No Guidance (feat. Drake),Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15
17,LA CANCION,J Balvin,latin,176,65,75,-6,11,43,243,15,32
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,90,48,76,-6,7,91,158,56,5
19,Lalala,Y2K,canadian hip hop,130,39,84,-8,14,50,161,18,8
20,Truth Hurts,Lizzo,escape room,158,62,72,-3,12,41,173,11,11
21,Piece Of Your Heart,MEDUZA,pop house,124,74,68,-7,7,63,153,4,3
22,Panini,Lil Nas X,country rap,154,59,70,-6,12,48,115,34,8
23,No Me Conoce - Remix,Jhay Cortez,reggaeton flow,92,79,81,-4,9,58,309,14,7
24,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4
25,bad guy (with Justin Bieber),Billie Eilish,electropop,135,45,67,-11,12,68,195,25,30
26,If I Can't Have You,Shawn Mendes,canadian pop,124,82,69,-4,13,87,191,49,6
27,Dance Monkey,Tones and I,australian pop,98,59,82,-6,18,54,210,69,10
28,It's You,Ali Gatie,canadian hip hop,96,46,73,-7,19,40,213,37,3
29,Con Calma,Daddy Yankee,latin,94,86,74,-3,6,66,193,11,6
30,QUE PRETENDES,J Balvin,latin,93,79,64,-4,36,94,222,3,25
